name,location,category,description,url,city,country
Albert Edelfelt Studio Museum,"Haikko, Finland",Hidden Gems,See where this respected Finnish painter created over 200 works of art.,https://www.atlasobscura.com/places/albert-edelfelt-studio-museum,Haikko,Finland
L'église de Saint-Salvayre,"Alet-les-Bains, France",Mysterious,"This mysterious church sits discreetly above the Aude countryside, right in the heart of ""Grail Country.""",https://www.atlasobscura.com/places/leglise-de-saint-salvayre,Alet-les-Bains,France
Album Rock,"Raleigh, Newfoundland and Labrador",Hidden Gems,A remote landmark named for a whimsical photograph taken by a 1850s photographer and his crew of graffiti artists.,https://www.atlasobscura.com/places/album-rock,Raleigh,Newfoundland and Labrador
'Guerrero Chimalli',"Chimalhuacán, Mexico",Hidden Gems,"This controversial, abstract sculpture is meant to represent an Aztec warrior.",https://www.atlasobscura.com/places/guerrero-chimalli,Chimalhuacán,Mexico
Lutheran School of Theology - Lutherische Theologische Hochschule,"Oberursel, Germany",Weird & Unusual,Germany's tiniest institution of education.,https://www.atlasobscura.com/places/lutherische-theologische-hochschule-germanys-smallest-campus,Oberursel,Germany
Locomotive No. 2 of the Alcoi-Gandia Railway,"Alcoy, Spain",Weird & Unusual,"This 130-year-old, steam locomotive represents the Spanish industrial and agricultural boom of the late 19th and early 20th century.",https://www.atlasobscura.com/places/locomotive-no-2-of-the-alcoi-gandia-railway,Alcoy,Spain
Larne Jaunting Car Sculpture,"Larne, Northern Ireland",Hidden Gems,These vehicles were once a regular sight traveling up the Antrim Coast Road from Larne.,https://www.atlasobscura.com/places/larne-jaunting-car-sculpture,Larne,Northern Ireland
Los Ángeles and La Cruz Graveyards,"Aguascalientes, Mexico",Hidden Gems,"Legends, sculptures, and unique tombs can be seen lurking in these connected cemeteries.",https://www.atlasobscura.com/places/los-angeles-and-la-cruz-graveyards,Aguascalientes,Mexico
Little Boy Zero,"La Gloria, Mexico",Hidden Gems,"Statue of Edgar Hernandez, the first victim of swine flu.",https://www.atlasobscura.com/places/little-boy-zero,La Gloria,Mexico
007 Museum,"Naoshima, Japan",Hidden Gems,A museum dedicated to the least secret spy is actually an attempt to get Hollywood's attention.,https://www.atlasobscura.com/places/007-museum,Naoshima,Japan
World's Largest Greek Flag,"Keri, Greece",Weird & Unusual,Flying high over the small island of Zákynthos is a giant tribute to the mainland.,https://www.atlasobscura.com/places/the-largest-greek-flag-in-the-world,Keri,Greece
Leadhills Miners Library,"Leadhills, Scotland",Hidden Gems,The oldest subscription library in Britain was started by lead miners in southwest Scotland.,https://www.atlasobscura.com/places/leadhills-miners-library,Leadhills,Scotland
Clements Wood,"Mid and East Antrim, Northern Ireland",Hidden Gems,This woodland area is a lasting tribute to the Queen Mother.,https://www.atlasobscura.com/places/clements-wood,Mid and East Antrim,Northern Ireland
Bergdala Glastekniska Museum,"Bergdala, Sweden",Weird & Unusual,"The machines behind the famous handblown glass from Sweden's ""Kingdom of Crystal.""",https://www.atlasobscura.com/places/bergdala-glastekniska-museum,Bergdala,Sweden
Wooden Books of Padova University,"San Vito di Cadore, Italy",Mysterious,"While most books are made of wood, these wooden books are truly made of, and all about wood.",https://www.atlasobscura.com/places/wooden-books-padova-university,San Vito di Cadore,Italy
Deutsche Strasse Memorial Stone,"Eksjö, Sweden",Hidden Gems,This lonely rock along a gravel road outside of the southern Swedish village of Eksjö reminds us of a dark chapter in Swedish post-war history.,https://www.atlasobscura.com/places/deutsche-strasse,Eksjö,Sweden
Mill of the Elves (Matsopoulos Mill),"Trikala, Greece",Weird & Unusual,This former mill comes to life during the Christmas season.,https://www.atlasobscura.com/places/mill-of-the-elves-matsopoulos-mill,Trikala,Greece
Museo Costantiniano della Steccata,"Parma, Italy",Weird & Unusual,"Among the collection is the shirt worn by Louis XVI when he was executed by guillotine, still marked by a few drops of blood.",https://www.atlasobscura.com/places/museo-costantiniano-della-steccata,Parma,Italy
Museo d'Arte Contemporanea all'Aperto di Maglione (MACAM),"Maglione, Italy",Weird & Unusual,"Over 100 artworks are painted on the walls of this town, making it an open-air museum of contemporary art.",https://www.atlasobscura.com/places/open-air-museum-of-maglione,Maglione,Italy
Museo dell’Illuminazione Mineraria,"Schilpario, Italy",Weird & Unusual,A museum entirely dedicated to the evolution of mining lamps.,https://www.atlasobscura.com/places/museo-dell-illuminazione-mineraria,Schilpario,Italy
Museo Regionale della Bonifica di Ca' Vendramin,"Taglio di Po, Italy",Weird & Unusual,This former drainage pumping station was fundamental to the drainage of the Po delta.,https://www.atlasobscura.com/places/museo-regionale-della-bonifica-di-ca-vendramin,Taglio di Po,Italy
Monument to the Assassination of Ruggero Pascoli,"Longiano, Italy",Hidden Gems,A haunting mosaic marks the spot where a famous poet's father was murdered more than 150 years ago.,https://www.atlasobscura.com/places/monument-pascoli-murder,Longiano,Italy
Arboretum Mustila,"Kouvola, Finland",Weird & Unusual,"Sculptures of dinosaurs, trolls, and other beasts carved with chainsaws guard Finland's largest arboretum.",https://www.atlasobscura.com/places/arboretum-mustila,Kouvola,Finland
Cannon of Banastarim,"Panaji, India",Mysterious,This 16th-century cannon is thought to be the oldest piece of forge-welded wrought iron in India.,https://www.atlasobscura.com/places/canon-of-banastarim,Panaji,India
Kaliakra Transmitter,"Balgarevo, Bulgaria",Hidden Gems,"Massive, unfinished broadcasting station stands as a monument to the fall of communism.",https://www.atlasobscura.com/places/kaliakra-transmitter,Balgarevo,Bulgaria
Marco do Equador,"Ilhéu das Rolas, São Tomé and Príncipe",Hidden Gems,The equator passes through this tiny island in the eastern Atlantic.,https://www.atlasobscura.com/places/the-equator-sao-tome,Ilhéu das Rolas,São Tomé and Príncipe
Makoko Floating School,"Lagos, Nigeria",Mysterious,The innovative Nigerian floating school that may just be a glimpse into the future of design in a world of troubling climate changes.,https://www.atlasobscura.com/places/makoko-floating-school,Lagos,Nigeria
Mandovi Memorial Cross,"Panaji, India",Hidden Gems,Dedicated to the victims of a tragic ferry disaster in Goa.,https://www.atlasobscura.com/places/mandovi-memorial-cross,Panaji,India
Las Bóvedas de Uspallata (The Vaults of Uspallata),"Las Heras, Argentina",Weird & Unusual,These egg-shaped buildings constructed by Jesuits house a quaint museum in the Andes.,https://www.atlasobscura.com/places/las-bovedas-de-uspallata-the-vaults-of-uspallata,Las Heras,Argentina
Mona Lisa of Grodno,"Hrodna, Belarus",Hidden Gems,The old fire station features a mural that has more to it than first meets the eye.,https://www.atlasobscura.com/places/mona-lisa-of-grodno,Hrodna,Belarus
